name	street_address	postal_code	opening_date	latitude	longitude
24801 BROOKPARK ROAD	24801 BROOKPARK ROAD	44070	1995 	41.4151	-81.9144
3100 OAKLAND AVE	3100 OAKLAND AVE	15701	1995 	40.6263	-79.1615
577 GERMANTOWN PKWY	577 GERMANTOWN PKWY	38018	1995 	35.1577	-89.7825
1000 STATE ROUTE 36	1000 STATE ROUTE 36	14843	1995 	42.3311	-77.6554
555 EAST MAIN ST	555 EAST MAIN ST	01364	1995 	42.59	-72.2977
1231 FOLLY ROAD	1231 FOLLY ROAD	29412	1995 	32.7373	-79.9541
485 EAST AIRPORT HWY	485 EAST AIRPORT HWY	43567	1995 	41.5615	-84.1557
2101 SECOND AVENUE SE	2101 SECOND AVENUE SE	55008	1995 	45.5667	-93.2438
1180 M-32 WEST	1180 M-32 WEST	49707	1995 	45.0858	-83.4641
3551 NORTH RIDGE EAST	3551 NORTH RIDGE EAST	44004	1995 	41.8712	-80.7918
4725 ASHFORD-DUNWOODY	4725 ASHFORD-DUNWOODY	30338	1995 	33.9428	-84.3177
39 E MAIN/I-93 EXIT 20	39 E MAIN/I-93 EXIT 20	03276	1995 	43.449	-71.5764
1425 SUPERMALL WAY	1425 SUPERMALL WAY	98001	1995 	47.3037	-122.266
352 PALMER ROAD	352 PALMER ROAD	01082	1995 	42.2687	-72.2606
11110 CAUSEWAY BLVD	11110 CAUSEWAY BLVD	33511	1995 	27.9112	-82.2948
1600 N MERIDIAN STREET	1600 N MERIDIAN STREET	47371	1995 	40.4195	-84.9694
2944 MOUNTAIN CITY HWY	2944 MOUNTAIN CITY HWY	89801	1995 	40.883	-115.75
310 31ST AVENUE S.E.	310 31ST AVENUE S.E.	98374	1995 	47.14	-122.26
8500 JONES MALTSBURGER	8500 JONES MALTSBURGER	78216	1995 	29.5285	-98.4922
4255 MCKINLEY PARKWAY	4255 MCKINLEY PARKWAY	14075	1995 	42.7341	-78.8413
2212 GLACIER DRIVE	2212 GLACIER DRIVE	54024	1995 	45.4693	-92.6209
5200 WEST POINTE PLAZA	5200 WEST POINTE PLAZA	43228	1995 	39.9544	-83.123
